Competition,Week,Game Start Time,Division,Court,Team 1,Team 2,Duty Team,Game End Time,Event Title,Start Date,End Date,Google Calendar URL
SML4,4,8:00 pm,B2,5,Spike Wazowski,Vertically Challenged B,Froggers,9:00 pm,Spike Wazowski vs. Vertically Challenged B (Duty: Froggers),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Spike Wazowski vs. Vertically Challenged B (Duty: Froggers)&dates=20250524T200000/20250524T210000
SML4,5,5:00 pm,B2,3,Step-Libro,Vertically Challenged B,Xiangxia Sitters,6:00 pm,Step-Libro vs. Vertically Challenged B (Duty: Xiangxia Sitters),20250531T170000,20250531T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Step-Libro vs. Vertically Challenged B (Duty: Xiangxia Sitters)&dates=20250531T170000/20250531T180000
SML4,5,6:00 pm,B2,0,Norths,Team Name,Step-Libro,7:00 pm,Norths vs. Team Name (Duty: Step-Libro),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Team Name (Duty: Step-Libro)&dates=20250531T180000/20250531T190000
SML4,5,6:00 pm,C,1,Xiangxia Sitters,Vertically Challenged C,The Breakfast Club,7:00 pm,Xiangxia Sitters vs. Vertically Challenged C (Duty: The Breakfast Club),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Vertically Challenged C (Duty: The Breakfast Club)&dates=20250531T180000/20250531T190000
SCL,5,6:00 pm,Challenger League,2,Bossleybears Dev,Chicken Jockey,Big Diggers,7:00 pm,Bossleybears Dev vs. Chicken Jockey (Duty: Big Diggers),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Bossleybears Dev vs. Chicken Jockey (Duty: Big Diggers)&dates=20250531T180000/20250531T190000
SML4,5,6:00 pm,B2,3,VolleyBawlers,Jerrys Goons,Vertically Challenged B,7:00 pm,VolleyBawlers vs. Jerrys Goons (Duty: Vertically Challenged B),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Jerrys Goons (Duty: Vertically Challenged B)&dates=20250531T180000/20250531T190000
SML4,5,7:00 pm,B1,0,Sparrowbears,Pancakes,Mr Zengs Lanzhou Volleyball,8:00 pm,Sparrowbears vs. Pancakes (Duty: Mr Zengs Lanzhou Volleyball),20250531T190000,20250531T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Pancakes (Duty: Mr Zengs Lanzhou Volleyball)&dates=20250531T190000/20250531T200000
SML4,5,7:00 pm,C,1,Soft Serve,The Breakfast Club,Nathan's Angels,8:00 pm,Soft Serve vs. The Breakfast Club (Duty: Nathan's Angels),20250531T190000,20250531T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Soft Serve vs. The Breakfast Club (Duty: Nathan's Angels)&dates=20250531T190000/20250531T200000
SCL,5,8:00 pm,Challenger League,2,Harder Spikes United,Big Diggers,Bossleybears Dev,9:00 pm,Harder Spikes United vs. Big Diggers (Duty: Bossleybears Dev),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Big Diggers (Duty: Bossleybears Dev)&dates=20250531T200000/20250531T210000
SCL,5,8:00 pm,Challenger League,3,Backpain Spikers,Xiangxia Challengers,Chicken Jockey,9:00 pm,Backpain Spikers vs. Xiangxia Challengers (Duty: Chicken Jockey),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Xiangxia Challengers (Duty: Chicken Jockey)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,B1,0,Mr Zengs Lanzhou Volleyball,Froggers,Sparrowbears,9:00 pm,Mr Zengs Lanzhou Volleyball vs. Froggers (Duty: Sparrowbears),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Mr Zengs Lanzhou Volleyball vs. Froggers (Duty: Sparrowbears)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,C,1,Nathan's Angels,Selective Supremacy,Soft Serve,9:00 pm,Nathan's Angels vs. Selective Supremacy (Duty: Soft Serve),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. Selective Supremacy (Duty: Soft Serve)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,B1,5,Plant the Spike,Spike Wazowski,Pancakes,9:00 pm,Plant the Spike vs. Spike Wazowski (Duty: Pancakes),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Spike Wazowski (Duty: Pancakes)&dates=20250531T200000/20250531T210000
